real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
16407,3.274227544651128e-08,0.00013096910178604513,6812.0562616104635,8.0108642578125e-12,0.6000000000000001,33,2103-02
16408,3.274227481700586e-08,0.00013096909926802345,6812.056130641364,8.0108642578125e-12,0.6000000000000001,33,2103-02
16409,3.2742274187500455e-08,0.00013096909675000182,6812.055999672267,8.0108642578125e-12,0.6000000000000001,33,2103-02
16410,3.274227355799506e-08,0.00013096909423198022,6812.055868703173,8.0108642578125e-12,0.6000000000000001,33,2103-02
16411,2.7285227440408066e-08,0.00010914090976163227,6812.055759562263,8.0108642578125e-12,0.5000000000000001,34,2103-03
16412,2.7285227003251563e-08,0.00010914090801300626,6812.0556504213555,8.0108642578125e-12,0.5000000000000001,34,2103-03
16413,2.7285226566095063e-08,0.00010914090626438025,6812.055541280449,8.0108642578125e-12,0.5000000000000001,34,2103-03
16414,2.728522612893857e-08,0.00010914090451575428,6812.055432139544,8.0108642578125e-12,0.5000000000000001,34,2103-03
16415,2.7285225691782083e-08,0.00010914090276712833,6812.055322998641,8.0108642578125e-12,0.5000000000000001,34,2103-03
16416,2.7285225254625603e-08,0.00010914090101850242,6812.05521385774,8.0108642578125e-12,0.5000000000000001,34,2103-03
16417,2.728522481746913e-08,0.00010914089926987652,6812.05510471684,8.0108642578125e-12,0.5000000000000001,34,2103-03
16418,2.7285224380312666e-08,0.00010914089752125067,6812.0549955759425,8.0108642578125e-12,0.5000000000000001,34,2103-03
16419,2.7285223943156206e-08,0.00010914089577262482,6812.054886435047,8.0108642578125e-12,0.5000000000000001,34,2103-03
16420,2.7285223505999755e-08,0.00010914089402399903,6812.054777294153,8.0108642578125e-12,0.5000000000000001,34,2103-03
16421,2.728522306884331e-08,0.00010914089227537325,6812.0546681532605,8.0108642578125e-12,0.5000000000000001,34,2103-03
16422,2.7285222631686878e-08,0.0001091408905267475,6812.05455901237,8.0108642578125e-12,0.5000000000000001,34,2103-03
16423,2.7285222194530447e-08,0.0001091408887781218,6812.054449871482,8.0108642578125e-12,0.5000000000000001,34,2103-03
16424,2.7285221757374027e-08,0.00010914088702949611,6812.054340730595,8.0108642578125e-12,0.5000000000000001,34,2103-03
16425,2.7285221320217613e-08,0.00010914088528087045,6812.05423158971,8.0108642578125e-12,0.5000000000000001,34,2103-03
16426,2.7285220883061206e-08,0.00010914088353224482,6812.054122448826,8.0108642578125e-12,0.5000000000000001,34,2103-03
16427,2.72852204459048e-08,0.0001091408817836192,6812.054013307944,8.0108642578125e-12,0.5000000000000001,34,2103-03
16428,2.7285220008748408e-08,0.00010914088003499362,6812.053904167064,8.0108642578125e-12,0.5000000000000001,34,2103-03
16429,2.7285219571592017e-08,0.00010914087828636806,6812.053795026185,8.0108642578125e-12,0.5000000000000001,34,2103-03
16430,2.7285219134435636e-08,0.00010914087653774254,6812.053685885308,8.0108642578125e-12,0.5000000000000001,34,2103-03
16431,2.7285218697279262e-08,0.00010914087478911704,6812.0535767444335,8.0108642578125e-12,0.5000000000000001,34,2103-03
16432,2.7285218260122894e-08,0.00010914087304049157,6812.05346760356,8.0108642578125e-12,0.5000000000000001,34,2103-03
16433,2.7285217822966536e-08,0.00010914087129186615,6812.053358462689,8.0108642578125e-12,0.5000000000000001,34,2103-03
16434,2.7285217385810182e-08,0.00010914086954324073,6812.05324932182,8.0108642578125e-12,0.5000000000000001,34,2103-03
