real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
2063,1.1103367186307282e-06,0.004441346874522913,2772077.221927545,4.00543212890625e-12,0.1,4,2105-10
2064,1.110336716851777e-06,0.004441346867407108,2772077.217486198,4.00543212890625e-12,0.1,4,2105-10
2065,1.1103367150728256e-06,0.004441346860291302,2772077.213044851,4.00543212890625e-12,0.1,5,2105-11
2066,1.1103367132938741e-06,0.004441346853175497,2772077.208603504,4.00543212890625e-12,0.1,5,2105-11
2067,1.1103367115149228e-06,0.004441346846059692,2772077.204162157,4.00543212890625e-12,0.1,5,2105-11
2068,1.1103367097359713e-06,0.004441346838943885,2772077.19972081,4.00543212890625e-12,0.1,5,2105-11
2069,1.11033670795702e-06,0.00444134683182808,2772077.195279463,4.00543212890625e-12,0.1,5,2105-11
2070,1.1103367061780685e-06,0.004441346824712274,2772077.190838116,4.00543212890625e-12,0.1,4,2105-12
2071,1.1103367043991172e-06,0.0044413468175964685,2772077.1863967692,4.00543212890625e-12,0.1,4,2105-12
2072,1.1103367026201657e-06,0.004441346810480663,2772077.1819554223,4.00543212890625e-12,0.1,4,2105-12
2073,1.1103367008412144e-06,0.004441346803364858,2772077.1775140753,4.00543212890625e-12,0.1,4,2105-12
2074,7.77235689343584e-06,0.031089427573743358,2772077.146424648,4.00543212890625e-12,0.7,2,2106-01
2075,7.772356806267227e-06,0.031089427225068907,2772077.1153352205,4.00543212890625e-12,0.7,2,2106-01
2076,1.0548198404490975e-05,0.0421927936179639,2772077.073142427,4.00543212890625e-12,0.95,3,2106-02
2077,1.0548198243940621e-05,0.042192792975762484,2772077.030949634,4.00543212890625e-12,0.95,3,2106-02
2078,1.0548198083390273e-05,0.042192792333561095,2772076.9887568415,4.00543212890625e-12,0.95,3,2106-02
2079,1.0548197922839923e-05,0.04219279169135969,2772076.94656405,4.00543212890625e-12,0.95,2,2106-03
2080,1.054819776228958e-05,0.04219279104915832,2772076.904371259,4.00543212890625e-12,0.95,2,2106-03
2081,1.1103365896567617e-05,0.04441346358627047,2772076.859957795,4.00543212890625e-12,1.0,1,2106-04
2082,1.1103365718672502e-05,0.04441346287469001,2772076.8155443324,4.00543212890625e-12,1.0,2,2106-05
2083,1.1103365540777393e-05,0.04441346216310957,2772076.77113087,4.00543212890625e-12,1.0,2,2106-05
2084,1.1103365362882283e-06,0.004441346145152914,2772076.766689524,4.00543212890625e-12,0.1,2,2106-06
2085,1.1103365345092774e-06,0.00444134613803711,2772076.762248178,4.00543212890625e-12,0.1,2,2106-06
2086,1.1103365327303264e-06,0.004441346130921306,2772076.757806832,4.00543212890625e-12,0.1,2,2106-07
2087,1.1103365309513753e-06,0.004441346123805501,2772076.753365486,4.00543212890625e-12,0.1,2,2106-07
2088,6.662019175034545e-06,0.02664807670013818,2772076.726717409,4.00543212890625e-12,0.6,1,2106-08
2089,1.110336518498718e-05,0.04441346073994872,2772076.6823039483,4.00543212890625e-12,1.0,1,2106-09
2090,1.1103365007092077e-05,0.04441346002836831,2772076.6378904884,4.00543212890625e-12,1.0,1,2106-10
2091,1.1103364829196978e-06,0.004441345931678791,2772076.6334491423,4.00543212890625e-12,0.1,2,2106-11
2092,1.1103364811407469e-06,0.004441345924562987,2772076.6290077963,4.00543212890625e-12,0.1,2,2106-11
2093,1.1103364793617958e-06,0.0044413459174471835,2772076.6245664502,4.00543212890625e-12,0.1,3,2106-12
2094,1.1103364775828447e-06,0.004441345910331379,2772076.620125104,4.00543212890625e-12,0.1,3,2106-12
2095,1.1103364758038938e-06,0.0044413459032155754,2772076.615683758,4.00543212890625e-12,0.1,3,2106-12
2096,1.1103364740249427e-06,0.004441345896099771,2772076.611242412,4.00543212890625e-12,0.1,2,2107-01
2097,1.1103364722459919e-06,0.004441345888983967,2772076.606801066,4.00543212890625e-12,0.1,2,2107-01
2098,1.1103364704670408e-06,0.004441345881868163,2772076.60235972,4.00543212890625e-12,0.1,3,2107-02
2099,1.1103364686880897e-06,0.004441345874752358,2772076.597918374,4.00543212890625e-12,0.1,3,2107-02
2100,1.1103364669091388e-06,0.004441345867636555,2772076.593477028,4.00543212890625e-12,0.1,3,2107-02
2101,1.1103364651301877e-06,0.004441345860520751,2772076.589035682,4.00543212890625e-12,0.1,4,2107-03
2102,1.1103364633512366e-06,0.004441345853404947,2772076.584594336,4.00543212890625e-12,0.1,4,2107-03
2103,1.1103364615722857e-06,0.004441345846289143,2772076.58015299,4.00543212890625e-12,0.1,4,2107-03
2104,1.1103364597933347e-06,0.004441345839173339,2772076.575711644,4.00543212890625e-12,0.1,4,2107-03
2105,1.1103364580143836e-06,0.004441345832057534,2772076.5712702977,4.00543212890625e-12,0.1,4,2107-04
2106,1.1103364562354327e-06,0.0044413458249417306,2772076.5668289517,4.00543212890625e-12,0.1,4,2107-04
2107,1.1103364544564816e-06,0.004441345817825926,2772076.5623876057,4.00543212890625e-12,0.1,4,2107-04
2108,1.1103364526775305e-06,0.004441345810710122,2772076.5579462596,4.00543212890625e-12,0.1,4,2107-04
2109,6.662018705391477e-06,0.026648074821565906,2772076.531298185,4.00543212890625e-12,0.6,2,2107-05
2110,6.662018641349244e-06,0.026648074565396973,2772076.5046501104,4.00543212890625e-12,0.6,2,2107-05
2111,1.1103364295511687e-05,0.04441345718204675,2772076.460236653,4.00543212890625e-12,1.0,1,2107-06
2112,1.1103364117616599e-05,0.0444134564704664,2772076.4158231965,4.00543212890625e-12,1.0,1,2107-07
2113,1.1103363939721513e-05,0.04441345575888605,2772076.3714097408,4.00543212890625e-12,1.0,1,2107-08
2114,1.110336376182643e-06,0.004441345504730572,2772076.366968395,4.00543212890625e-12,0.1,2,2107-09
2115,1.110336374403692e-06,0.004441345497614768,2772076.3625270496,4.00543212890625e-12,0.1,2,2107-09
2116,1.1103363726247412e-06,0.0044413454904989646,2772076.358085704,4.00543212890625e-12,0.1,3,2107-10
2117,1.1103363708457906e-06,0.004441345483383162,2772076.3536443585,4.00543212890625e-12,0.1,3,2107-10
2118,1.1103363690668397e-06,0.004441345476267359,2772076.349203013,4.00543212890625e-12,0.1,3,2107-10
2119,1.110336367287889e-06,0.004441345469151556,2772076.3447616673,4.00543212890625e-12,0.1,2,2107-11
2120,1.110336365508938e-06,0.004441345462035752,2772076.3403203217,4.00543212890625e-12,0.1,2,2107-11
2121,1.1103363637299873e-06,0.004441345454919949,2772076.335878976,4.00543212890625e-12,0.1,3,2107-12
2122,1.1103363619510364e-06,0.0044413454478041455,2772076.3314376306,4.00543212890625e-12,0.1,3,2107-12
2123,1.1103363601720855e-06,0.004441345440688342,2772076.326996285,4.00543212890625e-12,0.1,3,2107-12
2124,5.551681791965674e-07,0.0022206727167862696,2772076.3247756124,2.002716064453125e-12,0.1,3,2108-01
